** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
tora             3.9028        0.5530       0.4064         0.2318       4.6111        0.7106       0.2493         0.0996
urupa            3.5833        0.5661       0.4565         0.1893       4.3191        0.7889       0.2487         0.0501
wanyam           2.8023        0.3948       0.5270         0.4070       4.4186        0.6547       0.2813         0.1313
wari             2.9881        0.4675       0.4478         0.3139       3.9762        0.6383       0.2832         0.1895
TOTAL            3.1693        0.4772       0.4706         0.3116       4.3532        0.7002       0.2645         0.1169


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.6739        0.2663       0.6673         0.6416       1.1739        0.4964       0.4706         0.3877
Jerigaon         0.5978        0.2518       0.7378         0.6458       0.7500        0.3188       0.6121         0.5759
Khispi           0.6413        0.2536       0.6728         0.6395       1.2174        0.5054       0.4307         0.3798
Khoina           0.4891        0.2156       0.7666         0.7133       1.0109        0.4402       0.5647         0.4505
Khoitam          0.3077        0.1227       0.8265         0.8239       0.7500        0.3261       0.6097         0.5716
Rahung           0.3804        0.1630       0.7945         0.7836       0.8696        0.3804       0.5702         0.5108
Rupa             0.4239        0.1757       0.8012         0.7550       0.8804        0.3768       0.6061         0.5127
Shergaon         0.3913        0.1667       0.7861         0.7758       0.8587        0.3696       0.5762         0.5189
TOTAL            0.4882        0.2019       0.7566         0.7223       0.9389        0.4017       0.5550         0.4885


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7049        0.2791       0.6347         0.6270       1.1585        0.4649       0.4263         0.4292
Jerigaon         0.4396        0.2015       0.7634         0.7336       0.9235        0.4076       0.5277         0.4823
Khispi           0.5027        0.2049       0.7109         0.7151       1.1093        0.4449       0.4241         0.4401
Khoina           0.5410        0.2413       0.7237         0.6871       1.0273        0.4417       0.5012         0.4391
Khoitam          0.3077        0.1291       0.8104         0.8190       0.8634        0.3725       0.5370         0.5173
Rahung           0.3224        0.1357       0.8027         0.8206       0.9454        0.3934       0.5025         0.4878
Rupa             0.3934        0.1621       0.7978         0.7687       1.0219        0.4540       0.4971         0.4253
Shergaon         0.3552        0.1503       0.7807         0.7957       0.9727        0.4288       0.4966         0.4518
TOTAL            0.4459        0.1880       0.7531         0.7458       1.0027        0.4260       0.4891         0.4591


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7236        0.2952       0.6135         0.5993       1.4073        0.5739       0.3811         0.3227
Jerigaon         0.4708        0.2214       0.7583         0.7115       1.2691        0.5497       0.4560         0.3245
Khispi           0.6291        0.2548       0.6551         0.6505       1.4145        0.5864       0.3889         0.3138
Khoina           0.5328        0.2366       0.7242         0.6916       1.4364        0.6318       0.3987         0.2608
Khoitam          0.3248        0.1423       0.8045         0.7998       1.3745        0.6036       0.4234         0.2816
Rahung           0.3636        0.1497       0.7770         0.7941       1.3272        0.5815       0.4235         0.2967
Rupa             0.4182        0.1715       0.7863         0.7531       1.3418        0.5968       0.4316         0.2826
Shergaon         0.4073        0.1776       0.7527         0.7564       1.3491        0.5823       0.3702         0.2957
TOTAL            0.4838        0.2061       0.7339         0.7195       1.3650        0.5883       0.4092         0.2973


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8898        0.3656       0.5244         0.5191       1.5452        0.6223       0.3117         0.2591
Jerigaon         0.5253        0.2402       0.7120         0.6861       1.3529        0.5712       0.4084         0.3103
Khispi           0.7790        0.3203       0.5738         0.5778       1.5467        0.6280       0.3077         0.2684
Khoina           0.6986        0.3038       0.7034         0.5971       1.4803        0.6316       0.3607         0.2715
